"cheese","url","milk","country","region","family","type","fat_content","calcium_content","texture","rind","color","flavor","aroma","vegetarian","vegan","synonyms","alt_spellings","producers","lat","lon","xmin","ymin","xmax","ymax"
"Beemster Classic","https://www.cheese.com/beemster-classic/","cow","Netherlands",NA,"Gouda","semi-hard",NA,NA,"creamy, firm, smooth","natural","yellow","buttery, nutty","buttery, rich",FALSE,FALSE,NA,NA,"Beemster Cheese",52.2434979,5.6343227,-68.6255319,11.825,7.2274985,53.744395
"Beemster Extra Aged (XO)","https://www.cheese.com/beemster-extra-aged/","cow","Netherlands",NA,"Gouda","hard",NA,NA,"brittle, crumbly, grainy","natural","golden yellow","butterscotch, nutty","aromatic",FALSE,FALSE,"Beemster Extra Old, Beemster X-O, Beemster XO",NA,"Beemster Cheese, CONO Kaasmakers / Beemster",52.2434979,5.6343227,-68.6255319,11.825,7.2274985,53.744395
"Beemster Graskaas","https://www.cheese.com/beemster-graskaas/","cow","Netherlands",NA,"Gouda","semi-hard",NA,NA,"creamy, open, smooth","natural","yellow","full-flavored","rich",FALSE,FALSE,NA,NA,"Beemster Cheese, CONO Kaasmakers / Beemster",52.2434979,5.6343227,-68.6255319,11.825,7.2274985,53.744395
"Beenleigh Blue","https://www.cheese.com/beenleigh-blue/","sheep","England",NA,"Blue","soft, blue-veined",NA,NA,"smooth","natural",NA,"lemony","fresh",TRUE,FALSE,NA,NA,"Ticklemore Cheese Dairy",52.5310214,-1.2649062,-6.7047494,49.674,2.0919117,55.917
"Bega Processed Cheddar","https://www.cheese.com/bega-processed-cheddar/","cow","Australia",NA,"Cheddar","soft",NA,NA,"creamy, smooth",NA,"yellow","creamy",NA,NA,NA,NA,NA,"Bega Cheese Limited",-24.7761086,134.755,72.2461932,-55.3228175,168.2261259,-9.0880125
"Bel Ceillo","https://www.cheese.com/bel-ceillo/","cow","United States","NY","Parmesan","semi-hard, artisan",NA,NA,"creamy, crumbly","natural","pale yellow","sharp","pungent",NA,NA,NA,NA,"Muranda Cheese Company",43.1561681,-75.8449946,-79.7619758,40.476578,-71.790972,45.0158611
"Bel Paese","https://www.cheese.com/bel-paese/","cow","Italy","Lombardy",NA,"semi-soft",NA,NA,"creamy, smooth","plastic","pale yellow","buttery, mild, milky, sweet","pleasant",FALSE,FALSE,NA,NA,"Galbani",45.5703694,9.7732524,8.4978518,44.6799091,11.4276477,46.6353523
"Bella Lodi","https://www.cheese.com/bella-lodi/","cow","Italy","Lodi","Parmesan","hard, artisan",NA,NA,"crumbly, flaky, grainy","natural","white","full-flavored","aromatic, rich",TRUE,FALSE,"Black Parmesan","Bella Lodi Raspadura, Lodigrana Bella Lodi","Lodigrana",45.2613104,9.4916781,9.3099901,45.0526084,9.900973,45.4700243
"Belle Creme","https://www.cheese.com/belle-creme/","cow","Canada","Québec","Brie","soft, soft-ripened",NA,NA,"buttery, creamy, smooth, soft-ripened","bloomy","white","acidic, buttery, creamy, salty","mushroom, nutty",NA,NA,NA,NA,"La Maison Alexis de Portneuf Inc.",NA,NA,NA,NA,NA,NA
"Belletoile","https://www.cheese.com/belletoile/","cow","France",NA,"Brie","soft, soft-ripened","70%",NA,"creamy",NA,NA,"garlicky, mild, mushroomy, nutty, tangy","mild",FALSE,FALSE,NA,NA,"Fromagerie Henri Hutin",46.603354,1.8883335,-178.3873749,-50.2187169,172.3057152,51.3055721
"Bellwether Farms Crescenza","https://www.cheese.com/bellwether-farms-crescenza/","cow","United States","Sonoma, California",NA,"soft, artisan",NA,NA,"buttery, soft-ripened, spreadable","rindless","ivory","buttery, tart","buttery, rich",TRUE,FALSE,"Crescenza",NA,"Bellwether Farms",38.5110803,-122.8473388,-123.632497,38.0695272,-122.3496966,38.8526549
"Benedictine","https://www.cheese.com/benedictine/","cow, goat, sheep","United States","La Velle, Wisconsin",NA,"semi-hard, artisan",NA,NA,"creamy","washed","yellow",NA,NA,NA,NA,NA,NA,"Carr Valley Cheese Company",NA,NA,NA,NA,NA,NA
"Bent River","https://www.cheese.com/bent-river/","cow","United States","Mankato, MN","Camembert","soft, artisan, soft-ripened",NA,NA,"smooth, soft","bloomy",NA,"buttery, mellow, milky, subtle","mushroom",NA,NA,NA,NA,"Alemar Cheese",44.1634663,-93.9993505,-94.0459859,44.1268388,-93.9056498,44.2416428
"Bergader","https://www.cheese.com/bergader/","cow","Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,"Bergader Privatkäserei GmbH",51.1638175,10.4478313,5.8663153,47.2701114,15.0419309,55.099161
"Bergere Bleue","https://www.cheese.com/bergere-bleue/","sheep","United States","Marathon, NY","Blue","semi-soft, artisan, blue-veined",NA,NA,"creamy, crumbly, smooth","mold ripened","pale yellow","burnt caramel","lanoline, rich, yeasty",TRUE,FALSE,NA,NA,"Northland Sheep Dairy",42.4417391,-76.0321474,-76.06147,42.408855,-75.962498,42.486754
"Bergues","https://www.cheese.com/bergues/","cow","France","Bergues",NA,"semi-hard","15-25%",NA,"smooth","washed",NA,"subtle, sweet","aromatic",FALSE,FALSE,NA,NA,NA,50.9683886,2.4325247,2.4225951,50.9635827,2.4459838,50.9746414
"Berkswell","https://www.cheese.com/berkswell/","sheep","United Kingdom",NA,NA,"hard",NA,NA,"chewy, firm","natural","pale yellow",NA,"sweet",NA,NA,NA,NA,NA,54.7023545,-3.2765753,-14.015517,49.674,2.0919117,61.061
"Bermondsey Hard Pressed","https://www.cheese.com/bermondsey-hard-pressed/","cow","United Kingdom","Bermondsey, London","Cheddar","hard, artisan",NA,NA,"creamy, crumbly, open","natural","yellow","creamy, nutty","barnyardy",NA,NA,NA,NA,"KAPPACASEIN DAIRY",51.4970125,-0.063268,-0.083268,51.4770125,-0.043268,51.5170125
"Bermuda Triangle","https://www.cheese.com/bermuda-triangle/","goat","United States","California","Brie","semi-soft, soft-ripened",NA,NA,"creamy, crumbly, dense, firm, smooth","bloomy","white","earthy, piquant, spicy, tangy","earthy, fresh, spicy",TRUE,FALSE,NA,NA,"Cypress Grove Chevre",36.7014631,-118.755997,-124.482003,32.5295236,-114.1307816,42.009499
"Bethmale des Pyrenees","https://www.cheese.com/bethmale-des-pyrenees/","cow","France","Pyrenees",NA,"semi-hard",NA,NA,NA,"natural","brownish yellow","mild","aromatic, earthy, mushroom",FALSE,FALSE,NA,NA,NA,48.8738565,2.3852638,2.3802638,48.8688565,2.3902638,48.8788565
"Bettine Bleu","https://www.cheese.com/bettine-bleu/","goat","Netherlands",NA,NA,"semi-hard","39.6 g/100g",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,"Bettinehoeve BV",52.2434979,5.6343227,-68.6255319,11.825,7.2274985,53.744395
"Bettine Grand Cru","https://www.cheese.com/bettine-grand-cru/","goat","Netherlands",NA,NA,"semi-hard",NA,NA,NA,NA,NA,"spicy, strong","strong",FALSE,FALSE,NA,NA,"Bettinehoeve BV",52.2434979,5.6343227,-68.6255319,11.825,7.2274985,53.744395
"Beyaz Peynir","https://www.cheese.com/beyaz-peynir/","cow, goat, sheep","Turkey",NA,NA,"semi-soft, brined",NA,NA,NA,NA,"pale white",NA,NA,TRUE,FALSE,NA,NA,NA,38.9597594,34.9249653,25.5656305,35.8058974,44.8176638,42.297
"Bianca","https://www.cheese.com/bianca/","goat, sheep","United States","Tieton, Washington",NA,"fresh soft, artisan",NA,NA,"soft, spreadable","rindless","ivory","creamy, tangy","fresh, rich",NA,NA,NA,NA,"Tieton Farm & Creamery",46.7020686,-120.75535,-120.772574,46.690809,-120.731255,46.709545
"Bianco","https://www.cheese.com/bianco/","cow","Germany",NA,NA,"semi-hard","32.5 g/100g","725 mg/100g","creamy, open, soft","natural","pale yellow","buttery, garlicky, mild",NA,FALSE,FALSE,NA,"Bianco Garlic, Bianco Original","Bergader Privatkäserei GmbH",51.1638175,10.4478313,5.8663153,47.2701114,15.0419309,55.099161
"Bica de Queijo","https://www.cheese.com/bica-de-queijo/","cow, goat, sheep","Portugal","Póvoa de Lanhoso",NA,"semi-soft, artisan","45%",NA,"creamy, firm, smooth, springy","natural","ivory","buttery, mild, salty","goaty",FALSE,FALSE,NA,"bag of cheese, Queijo de Bica, Bolsa de queso",NA,NA,NA,NA,NA,NA,NA
"Bierkase","https://www.cheese.com/bierkase/","cow","Germany",NA,NA,"semi-soft, smear-ripened",NA,NA,"smooth","washed","pale yellow","salty, tangy","strong",NA,NA,"Weisslacker, beer kaese, beer cheese, Whitewash, bierkäse",NA,NA,51.1638175,10.4478313,5.8663153,47.2701114,15.0419309,55.099161
"Big John's Cajun","https://www.cheese.com/big-johns-cajun/","cow","United States","Utah",NA,"hard, artisan",NA,NA,"creamy, smooth","natural","pale yellow","smooth, spicy","rich, spicy",TRUE,FALSE,NA,NA,"Beehive Cheese Company",39.4225192,-111.714358,-114.0528506,36.9978085,-109.0415767,42.001702
"Big Rock Blue","https://www.cheese.com/big-rock-blue/","cow","United States","California","Blue","semi-firm, artisan, blue-veined",NA,NA,"buttery, crumbly","rindless","ivory","buttery, salty","mild",TRUE,FALSE,NA,NA,"Central Coast Creamery",36.7014631,-118.755997,-124.482003,32.5295236,-114.1307816,42.009499
"Big Woods Blue","https://www.cheese.com/big-woods-blue/","sheep","United States","Minnesota","Blue","semi-hard, blue-veined",NA,NA,"firm","natural","ivory","full-flavored, sharp, spicy, tangy","pronounced, sweet",TRUE,FALSE,NA,NA,"Shepherd's Way Farms",45.9896587,-94.6113288,-97.2392619,43.4994288,-89.483385,49.3844722
"Bijou","https://www.cheese.com/bijou/","goat","United States","Websterville, VT",NA,"semi-soft, artisan","11%",NA,"creamy, smooth","mold ripened",NA,"sharp, sweet, tangy, yeasty","fresh, yeasty",NA,NA,NA,NA,"Vermont Creamery",44.162985,-72.4757681,-72.488863,44.147403,-72.454772,44.178683
"Binnorie Marinated Fetta","https://www.cheese.com/binnorie-marinated-fetta/","cow","Australia","Pokolbin, Hunter Valley","Feta","soft, brined",NA,NA,"creamy","natural","white","herbaceous, mild, milky","clean, fresh, herbal",TRUE,FALSE,NA,"Marinated Feta","Binnorie Dairy",NA,NA,NA,NA,NA,NA
"Bishop Kennedy","https://www.cheese.com/bishop-kennedy/","cow","Scotland","Kinfauns, Perthshire",NA,"soft","45%",NA,"smooth","washed","yellow","creamy, strong","pungent",TRUE,FALSE,NA,NA,"Kinfauns Home Farm, Scotland",NA,NA,NA,NA,NA,NA
"Bismark","https://www.cheese.com/bismark/","sheep","United States","Vermont",NA,"semi-hard, artisan",NA,NA,"crumbly, firm","rindless","yellow","buttery, creamy, nutty, sweet, tangy",NA,TRUE,FALSE,NA,NA,"Grafton Village Cheese Company",44.5990718,-72.5002608,-73.43774,42.72696,-71.465386,45.016665
"Bix","https://www.cheese.com/bix/","cow","United Kingdom",NA,NA,"soft, semi-soft",NA,NA,"buttery, creamy, soft, soft-ripened",NA,"pale yellow",NA,NA,NA,NA,NA,NA,NA,54.7023545,-3.2765753,-14.015517,49.674,2.0919117,61.061
"Black Betty","https://www.cheese.com/black-betty/","goat","Netherlands",NA,NA,"hard, artisan",NA,NA,"firm","waxed",NA,NA,NA,NA,NA,NA,NA,"Essex St. Cheese Co., Fromagerie L'Amuse",52.2434979,5.6343227,-68.6255319,11.825,7.2274985,53.744395
"Black Bomber Cheddar","https://www.cheese.com/black-bomber-cheddar/","cow","United Kingdom",NA,NA,"hard",NA,NA,"buttery, compact, creamy, crumbly",NA,"yellow",NA,"rich",NA,NA,"Little Black Bomber, Black Bomber",NA,"Snowdonia Cheese Company Limited",54.7023545,-3.2765753,-14.015517,49.674,2.0919117,61.061
"Black Pearl","https://www.cheese.com/black-pearl/","goat","Australia","Mornington Peninsula, Melbourne",NA,"semi-hard, artisan",NA,NA,"firm","ash coated",NA,"mild","fresh",TRUE,FALSE,"Boatshed Black Pearl",NA,"BoatShed Cheese",-38.4447227,144.9259272,144.6900435,-38.5003776,145.0268292,-38.3269389
"Blackmount","https://www.cheese.com/blackmount/","goat","Scotland",NA,NA,"soft",NA,NA,"creamy","ash coated","green","earthy","clean",TRUE,FALSE,NA,NA,"Errington Cheese Ltd.",56.7861112,-4.1140518,-14.015517,54.4339831,-0.3209221,61.061
"Blacksticks Blue","https://www.cheese.com/blacksticks-blue/","cow","United Kingdom",NA,"Blue","soft, blue-veined",NA,NA,"creamy, spreadable",NA,"orange","creamy, tangy",NA,TRUE,FALSE,"Butlers Blacksticks Blue",NA,"Butlers Farmhouse Cheeses",54.7023545,-3.2765753,-14.015517,49.674,2.0919117,61.061
"Blaenafon Pwll Ddu","https://www.cheese.com/blaenafon-pwll-ddu/","cow","Wales",NA,NA,"hard",NA,NA,"compact",NA,"cream","savory",NA,NA,NA,NA,NA,NA,52.2928116,-3.73893,-5.8077297,51.2290265,-2.6498626,53.635
"Blarney Castle","https://www.cheese.com/blarney-castle/","cow","Ireland","Blarney","Gouda","semi-soft",NA,NA,"creamy","natural","golden yellow","smooth, tangy",NA,FALSE,FALSE,NA,NA,"Kerrygold",51.9327019,-8.5679416,-8.5775963,51.9279881,-8.5547128,51.945899
"Blenda","https://www.cheese.com/blenda/","cow, sheep","Sweden","Oviken",NA,"hard, artisan","30%",NA,NA,"natural","yellow","acidic, fruity, mild, nutty",NA,NA,NA,NA,NA,"Oviken cheese",62.9974877,14.3928671,14.3728671,62.9774877,14.4128671,63.0174877
"Bleu Bénédictin","https://www.cheese.com/bleu-benedictin/","cow","Canada","Quebec","Blue","semi-soft, artisan, blue-veined",NA,NA,"creamy, crumbly, firm","natural","pale yellow","creamy, salty, woody","mushroom, pleasant",FALSE,FALSE,NA,NA,"Fromagerie de l'Abbaye Saint-Benoît",52.4760892,-71.8258668,-79.7628726,44.9913689,-57.1074889,62.5824988
"Bleu d'Auvergne","https://www.cheese.com/bleu-dauvergne/","cow","France","Auvergne","Blue","semi-soft, artisan",NA,NA,"creamy, smooth",NA,"ivory","buttery, creamy, pungent","strong",NA,NA,"Bleu d'Auvergne AOC",NA,NA,45.2968119,4.6604809,2.0629028,44.1151806,7.1859342,46.8041547
"Bleu de Laqueuille","https://www.cheese.com/bleu-de-laqueuille/","cow","France","Laqueuille","Blue","soft, blue-veined","30%",NA,"creamy, smooth","natural","blue","salty, spicy, tangy","earthy",FALSE,FALSE,NA,NA,NA,45.6507627,2.7320917,2.7133304,45.6183293,2.7870247,45.6868551
"Bleu Des Causses","https://www.cheese.com/bleu-des-causses/","cow","France",NA,"Blue","semi-soft, blue-veined",NA,NA,"creamy",NA,NA,"milky, spicy","strong",NA,NA,"Bleu Des Causses AOC",NA,NA,46.603354,1.8883335,-178.3873749,-50.2187169,172.3057152,51.3055721
"Bleu L'Ermite","https://www.cheese.com/bleu-lermite/","cow","Canada","Quebec","Blue","semi-soft, artisan, blue-veined",NA,NA,"creamy, crumbly","natural","cream","mushroomy, nutty, salty, sharp","fermented",FALSE,FALSE,"Ermite (L'), Bleu Ermite, Blue Hermit",NA,"Abbey de Saint-Benoit-du-lac",52.4760892,-71.8258668,-79.7628726,44.9913689,-57.1074889,62.5824988
"Bleu Mont Dairy Bandaged Cheddar","https://www.cheese.com/bleu-mont-dairy-bandaged-cheddar/","cow","United States","Wisconsin","Cheddar","hard, artisan",NA,NA,"crumbly, crystalline, flaky","cloth wrapped","yellow","caramel, nutty, sweet","earthy",FALSE,FALSE,NA,NA,NA,44.4308975,-89.6884637,-92.8893149,42.4919515,-86.249548,47.3025
"Bleubry","https://www.cheese.com/bleubry/","cow","Canada","Quebec","Blue","soft, blue-veined","37%",NA,"creamy, smooth, supple","mold ripened","cream","creamy, mild, savory","pungent",FALSE,FALSE,NA,NA,"La Maison Alexis de Portneuf Inc.",52.4760892,-71.8258668,-79.7628726,44.9913689,-57.1074889,62.5824988
"Blissful Blocks","https://www.cheese.com/blissful-blocks/",NA,"Canada",NA,"Cheddar","hard",NA,NA,"creamy, crumbly","plastic","yellow","creamy, savory, sharp, spicy",NA,TRUE,FALSE,"Lactose Free Cheddar Blocks, Lactose & Soy Free Cheddar Blocks, Lactose Free Mozzarella Blocks, Lactose & Soy Free Mozzarella Blocks",NA,"GO Veggie!",61.0666922,-107.991707,-141.00275,41.6765597,-52.3237664,83.3362128
"Blissful Blocks","https://www.cheese.com/blissful-blocks/",NA,"United States",NA,"Cheddar","hard",NA,NA,"creamy, crumbly","plastic","yellow","creamy, savory, sharp, spicy",NA,TRUE,FALSE,"Lactose Free Cheddar Blocks, Lactose & Soy Free Cheddar Blocks, Lactose Free Mozzarella Blocks, Lactose & Soy Free Mozzarella Blocks",NA,"GO Veggie!",39.7837304,-100.445882,-180,-14.7608358,180,71.5889534
"Blissful Toppings","https://www.cheese.com/blissful-toppings/",NA,"Canada",NA,"Parmesan","soft",NA,NA,"crumbly","artificial","yellow","savory, sharp",NA,TRUE,FALSE,"Lactose Free Parmesan Grated Topping, Dairy Free Parmesan Grated Topping",NA,"GO Veggie!",61.0666922,-107.991707,-141.00275,41.6765597,-52.3237664,83.3362128
"Blissful Toppings","https://www.cheese.com/blissful-toppings/",NA,"United States",NA,"Parmesan","soft",NA,NA,"crumbly","artificial","yellow","savory, sharp",NA,TRUE,FALSE,"Lactose Free Parmesan Grated Topping, Dairy Free Parmesan Grated Topping",NA,"GO Veggie!",39.7837304,-100.445882,-180,-14.7608358,180,71.5889534
"Bloomsdale","https://www.cheese.com/bloomsdale/","goat","United States","Bloomdale","Brie","soft, artisan, soft-ripened",NA,NA,"creamy, runny, soft-ripened","mold ripened","white","earthy, milky, tangy",NA,FALSE,FALSE,NA,NA,"Baetje Farms LLC",33.2473378,-96.6794382,-96.6994382,33.2273378,-96.6594382,33.2673378
"Blu '61","https://www.cheese.com/blu-61/","cow","Italy","Veneto","Blue","soft, blue-veined",NA,NA,"creamy, soft",NA,"white","creamy, pronounced, strong","fruity, rich, sweet",FALSE,FALSE,NA,NA,"La Casearia Carpenedo S.r.l.",45.6476663,11.8665254,10.6231032,44.7924256,13.1021703,46.6806148
"Blu Della Casera","https://www.cheese.com/blu-della-casera/","cow, sheep","Italy","Piedmont",NA,"soft, blue-veined","54%",NA,"soft","leaf wrapped","ivory","creamy, strong",NA,NA,NA,NA,NA,"La Casera srl",45.060735,7.923549,6.6272658,44.0597158,9.2142404,46.4642213
"Blu di Bufala","https://www.cheese.com/blu-di-bufala/","water buffalo","Italy","Lombardy","Blue","semi-firm, artisan, blue-veined",NA,NA,"creamy, crumbly","natural","cream","acidic, milky, sweet, tangy","fresh, milky",FALSE,FALSE,NA,NA,NA,45.5703694,9.7732524,8.4978518,44.6799091,11.4276477,46.6353523
"Blue","https://www.cheese.com/vegan-blue/","plant-based","United Kingdom",NA,NA,"soft",NA,NA,"creamy, soft-ripened","mold ripened","blue","creamy, mild, smooth","milky, ripe",TRUE,TRUE,NA,NA,"Honestly Tasty",54.7023545,-3.2765753,-14.015517,49.674,2.0919117,61.061
"Blue Benedictine","https://www.cheese.com/blue-benedictine/",NA,"Canada",NA,NA,"semi-soft, blue-veined, soft-ripened",NA,NA,"buttery, creamy, crumbly, smooth","natural","brownish yellow","buttery, creamy, earthy, grassy, herbaceous, mushroomy, salty, smooth, sweet","buttery, earthy, grassy, herbal, mushroom, sweet",NA,NA,NA,NA,"Benedictine Abbey of Saint-Benoît-du-Lac, Quebec.",61.0666922,-107.991707,-141.00275,41.6765597,-52.3237664,83.3362128
"Blue Castello","https://www.cheese.com/blue-castello/","cow","Denmark",NA,"Blue","soft",NA,NA,"creamy, smooth","washed","blue","buttery","spicy",NA,NA,NA,NA,NA,55.670249,10.3333283,7.7153255,54.4516667,15.5530641,57.9524297
"Blue Cheese","https://www.cheese.com/blue-vein-cheese/","cow, goat, sheep",NA,NA,"Blue","semi-soft, blue-veined",NA,NA,"creamy",NA,"blue","salty, sharp, tangy","stinky, strong",FALSE,FALSE,"Blue cheese, Bleu cheese, Erborinato, Blue-Vein Cheese",NA,NA,-23.2335499,17.3231107,11.5280384,-28.96945,25.2617292,-16.9635105
"Blue Clouds","https://www.cheese.com/blue-clouds/","cow","United Kingdom",NA,NA,"semi-soft",NA,NA,"creamy",NA,"blue",NA,NA,TRUE,FALSE,NA,NA,NA,54.7023545,-3.2765753,-14.015517,49.674,2.0919117,61.061
"Blue Earth","https://www.cheese.com/blue-earth/","cow","United States","Mankato, MN","Brie","soft, artisan, soft-ripened",NA,NA,"creamy, runny, smooth, soft","bloomy","pale yellow","buttery, grassy, smooth",NA,TRUE,FALSE,NA,NA,NA,44.1634663,-93.9993505,-94.0459859,44.1268388,-93.9056498,44.2416428
"Blue Ledge La Luna","https://www.cheese.com/blue-ledge-la-luna/","goat","United States","Vermont","Gouda","semi-hard, artisan",NA,NA,"firm, smooth","waxed","white","creamy, milky, tangy","grassy",FALSE,FALSE,"La Luna",NA,"Blue Ledge",44.5990718,-72.5002608,-73.43774,42.72696,-71.465386,45.016665
"Blue Lupine","https://www.cheese.com/blue-lupine/","goat","United States","California","Blue","semi-soft, blue-veined",NA,NA,"creamy, dense","natural",NA,"tangy","goaty",NA,NA,NA,NA,"Weirauch Farm and Creamery",36.7014631,-118.755997,-124.482003,32.5295236,-114.1307816,42.009499
"Blue Rathgore","https://www.cheese.com/blue-rathgore/","goat","Ireland","County Antrim","Blue","semi-soft, artisan",NA,NA,"creamy, crumbly","natural","ivory","buttery, spicy",NA,TRUE,FALSE,NA,NA,NA,54.8647255,-6.1436379,-6.6689889,54.4772774,-5.687963,55.3130865
"Blue Vein (Australian)","https://www.cheese.com/blue-vein-australian/","cow","Australia",NA,"Blue","semi-soft, blue-veined",NA,NA,"creamy, dense","natural","blue","salty, sharp","stinky, strong",NA,NA,NA,NA,NA,-24.7761086,134.755,72.2461932,-55.3228175,168.2261259,-9.0880125
"Blue Wensleydale","https://www.cheese.com/blue-wensleydale/","cow","England","North Yorkshire","Blue","hard, blue-veined",NA,NA,"close","cloth wrapped","blue","acidic, salty, savory, sharp, strong","rich",TRUE,FALSE,NA,NA,"Wensleydale Creamery",54.1345327,-1.4986285,-2.564739,53.6210944,-0.2123533,54.6479755
"Blue Yonder","https://www.cheese.com/blue-yonder/","cow","United States","NY","Blue","semi-soft, blue-veined",NA,NA,"creamy","natural","white","subtle","rich",TRUE,FALSE,NA,NA,"Lively Run Goat Dairy",43.1561681,-75.8449946,-79.7619758,40.476578,-71.790972,45.0158611
"Bluebell","https://www.cheese.com/bluebell/","cow","Scotland",NA,NA,"semi-soft",NA,NA,"soft","natural","blue-grey","sweet","mushroom",TRUE,FALSE,NA,NA,"The Ethical Dairy",56.7861112,-4.1140518,-14.015517,54.4339831,-0.3209221,61.061
"Bluebell Falls Cygnus","https://www.cheese.com/bluebell-falls-cygnus/","goat","Ireland","Co. Cork",NA,"fresh soft, artisan",NA,NA,"creamy, smooth","natural","white","garlicky, herbaceous, sweet",NA,TRUE,FALSE,"Cygnus Goats Cheese, Cygnus Honey Garlic and Thyme Goats Cheese, Cygnus Pepper and Garlic Goats Cheese",NA,"Bluebell Falls Goats Cheese",51.9175359,-8.5859773,-10.3025214,51.388867,-7.8410723,52.3877865
"Blythedale Camembert Vermont™","https://www.cheese.com/blythedale-camembert/","cow","United States","Vermont","Camembert","soft, artisan",NA,NA,"creamy, dense","natural","ivory","earthy, mushroomy","mild",TRUE,FALSE,"Camembert Vermont",NA,"Blythedale Farm Cheeses",44.5990718,-72.5002608,-73.43774,42.72696,-71.465386,45.016665
"Bocconcini","https://www.cheese.com/bocconcini/","cow, goat, water buffalo","Italy",NA,"Mozzarella","semi-soft, brined",NA,NA,"creamy","rindless","white","buttery, mild, sweet",NA,NA,NA,"bocconcino di bufala campana, bocconcini alla panna di bufala, Bocconcino Di Langa",NA,"La Casa Del Formaggio",42.6384261,12.674297,6.6272658,35.2889616,18.7844746,47.0921485
"Boeren-Leidse met sleutels","https://www.cheese.com/boeren-leidse-met-sleutels/","cow","Netherlands","Leiden","Gouda","hard, artisan","30-40%",NA,"crumbly, firm","waxed","yellow","fruity, spicy","aromatic, rich",FALSE,FALSE,"Farmers Leiden, Leidse kaas, Leyden cheese, Boeren-Leidse kaas, Boeren-Leidse, cumin cheese, Leyden, Boeren-Leidse met sleutels, Boeren Leidenkaas",NA,NA,52.1594747,4.4908843,4.4388652,52.1189516,4.5240721,52.1846262
"Bohemian Blue","https://www.cheese.com/bohemian-blue/","sheep","United States","Southwestern Wisconsin","Blue","firm, artisan",NA,NA,"creamy, crumbly, dry","rindless","white","piquant, sour, sweet","sweet",FALSE,FALSE,NA,NA,"Hidden Springs Company",42.5311607,-90.4376255,-90.4411636,42.5290806,-90.4358113,42.5326051
"Boivin Extra Aged Cheddar","https://www.cheese.com/boivin-extra-aged-cheddar/","cow","Canada","Quebec","Cheddar","hard",NA,NA,"firm, smooth","rindless","straw","acidic, buttery",NA,NA,NA,NA,NA,"La Fromagerie Boivin",52.4760892,-71.8258668,-79.7628726,44.9913689,-57.1074889,62.5824988
"Boivin Marbled Cheddar","https://www.cheese.com/boivin-marbled-cheddar/","cow","Canada","Quebec","Cheddar","semi-soft, processed","31%",NA,"firm, smooth","rindless","golden orange","mild, salty, sweet","buttery",NA,NA,NA,NA,"La Fromagerie Boivin",52.4760892,-71.8258668,-79.7628726,44.9913689,-57.1074889,62.5824988
"Boivin Medium Cheddar","https://www.cheese.com/boivin-medium-cheddar/","cow","Canada","Quebec","Cheddar","semi-hard",NA,NA,"firm, smooth","rindless","pale yellow","acidic, buttery",NA,NA,NA,NA,NA,"La Fromagerie Boivin",52.4760892,-71.8258668,-79.7628726,44.9913689,-57.1074889,62.5824988
"Bonchester","https://www.cheese.com/bonchester/","cow","Scotland","Roxburghshire",NA,"soft, artisan","20%",NA,"close, smooth","natural","yellow","mild","grassy",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bonchester","https://www.cheese.com/bonchester/","cow","United Kingdom","Roxburghshire",NA,"soft, artisan","20%",NA,"close, smooth","natural","yellow","mild","grassy",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bonifaz","https://www.cheese.com/bonifaz/","cow","Germany",NA,NA,"soft","43.3 g/100g","430 mg/100g","creamy, soft","natural","cream","creamy, garlicky, herbaceous, mild, milky, mushroomy, spicy",NA,FALSE,FALSE,NA,NA,"Bergader Privatkäserei GmbH",51.1638175,10.4478313,5.8663153,47.2701114,15.0419309,55.099161
"Bonne Bouche","https://www.cheese.com/bonne-bouche/","goat","United States","Vermont",NA,"soft","21%",NA,"creamy, fluffy, smooth","mold ripened","ivory","citrusy, grassy","yeasty",TRUE,FALSE,NA,NA,"Vermont Creamery",44.5990718,-72.5002608,-73.43774,42.72696,-71.465386,45.016665
"Boo Boo Baby Swiss","https://www.cheese.com/boo-boo-baby-swiss/","cow","United States","Utah","Swiss Cheese","hard, artisan",NA,NA,"crumbly, firm, open","natural","yellow","nutty, sweet","milky, pleasant",FALSE,FALSE,NA,NA,"Rockhill Creamery",39.4225192,-111.714358,-114.0528506,36.9978085,-109.0415767,42.001702
"Bootlegger","https://www.cheese.com/bootlegger/","cow, sheep","Canada","Lombardy",NA,"hard, artisan",NA,NA,"crumbly, firm","natural","pale yellow","fruity, full-flavored, strong","floral",NA,NA,NA,NA,"Fifth Town Artisan Cheese",44.8240917,-76.0922993,-76.1122993,44.8040917,-76.0722993,44.8440917
"Bootlegger","https://www.cheese.com/bootlegger/","cow, sheep","Italy","Lombardy",NA,"hard, artisan",NA,NA,"crumbly, firm","natural","pale yellow","fruity, full-flavored, strong","floral",NA,NA,NA,NA,"Fifth Town Artisan Cheese",45.5703694,9.7732524,8.4978518,44.6799091,11.4276477,46.6353523
